state_name,county_name,year,median_age,average_household_income,per_capita_income
 Arkansas,Jackson County,2020,40.0,37885.0,19901.0
 Arkansas,Lafayette County,2020,48.0,33763.0,22204.0
 Arkansas,Lee County,2020,42.3,27902.0,20103.0
 Arkansas,Logan County,2020,43.0,44232.0,22632.0
 Arkansas,Marion County,2020,52.1,38426.0,22113.0
 Arkansas,Mississippi County,2020,36.8,42986.0,24825.0
 Arkansas,Van Buren County,2020,48.6,40442.0,23244.0
 Arkansas,Woodruff County,2020,46.1,40331.0,25677.0
 Arkansas,Arkansas County,2021,41.4,55022.0,28815.0
 Arkansas,Ashley County,2021,42.6,42683.0,25641.0
 Arkansas,Baxter County,2021,51.8,43530.0,28726.0
 Arkansas,Benton County,2021,35.6,76887.0,39045.0
 Arkansas,Boone County,2021,42.2,48625.0,25850.0
 Arkansas,Bradley County,2021,40.6,41972.0,23162.0
 Arkansas,Calhoun County,2021,44.1,55904.0,25482.0
 Arkansas,Carroll County,2021,45.1,53366.0,27416.0
 Arkansas,Chicot County,2021,42.9,33770.0,21820.0
 Arkansas,Clark County,2021,32.3,45351.0,23773.0
 Arkansas,Clay County,2021,42.5,39817.0,23747.0
 Arkansas,Cleburne County,2021,49.3,48400.0,28868.0
 Arkansas,Cleveland County,2021,42.2,48183.0,26167.0
 Arkansas,Columbia County,2021,35.4,41115.0,25293.0
 Arkansas,Conway County,2021,42.4,45812.0,27435.0
 Arkansas,Craighead County,2021,34.3,51788.0,29106.0
 Arkansas,Crawford County,2021,39.2,52057.0,26609.0
 Arkansas,Crittenden County,2021,35.4,46452.0,24880.0
 Arkansas,Cross County,2021,40.9,45247.0,25410.0
 Arkansas,Dallas County,2021,44.6,34337.0,22683.0
 Arkansas,Desha County,2021,40.5,33295.0,19955.0
 Arkansas,Drew County,2021,37.4,42891.0,26250.0
 Arkansas,Faulkner County,2021,33.5,54845.0,28851.0
 Arkansas,Franklin County,2021,41.2,42128.0,22391.0
 Arkansas,Fulton County,2021,47.9,36950.0,20817.0
 Arkansas,Garland County,2021,45.0,49985.0,29214.0
 Arkansas,Grant County,2021,39.9,62479.0,32428.0
 Arkansas,Greene County,2021,37.5,51367.0,24806.0
 Arkansas,Hempstead County,2021,41.0,43592.0,23132.0
 Arkansas,Hot Spring County,2021,41.6,46724.0,23411.0
 Arkansas,Howard County,2021,39.5,39558.0,24969.0
 Arkansas,Independence County,2021,39.4,50028.0,25030.0
 Arkansas,Izard County,2021,47.5,45318.0,22047.0
 Arkansas,Jackson County,2021,40.4,39154.0,21238.0
 Arkansas,Jefferson County,2021,39.6,43720.0,23015.0
 Arkansas,Johnson County,2021,38.0,40628.0,22509.0
 Arkansas,Lafayette County,2021,47.0,36083.0,20605.0
 Arkansas,Lawrence County,2021,39.8,40746.0,23086.0
 Arkansas,Lee County,2021,41.7,29082.0,19688.0
 Arkansas,Lincoln County,2021,39.2,49474.0,15748.0
 Arkansas,Little River County,2021,42.0,57614.0,27738.0
 Arkansas,Logan County,2021,43.0,46570.0,24061.0
 Arkansas,Lonoke County,2021,36.8,62561.0,30370.0
 Arkansas,Madison County,2021,41.9,47862.0,25566.0
 Arkansas,Marion County,2021,51.7,41038.0,23231.0
 Arkansas,Miller County,2021,40.1,46610.0,25453.0
