state_name,state_abbr,county_name,state_fips,county_fips
 Arkansas,AR,Sevier County,05,133
 Arkansas,AR,Sharp County,05,135
 Arkansas,AR,Stone County,05,137
 Arkansas,AR,Union County,05,139
 Arkansas,AR,Van Buren County,05,141
 Arkansas,AR,Washington County,05,143
 Arkansas,AR,White County,05,145
 Arkansas,AR,Woodruff County,05,147
 Arkansas,AR,Yell County,05,149
 Arkansas,AR,Arkansas County,05,001
 Arkansas,AR,Ashley County,05,003
 Arkansas,AR,Baxter County,05,005
 Arkansas,AR,Benton County,05,007
 Arkansas,AR,Boone County,05,009
 Arkansas,AR,Bradley County,05,011
 Arkansas,AR,Calhoun County,05,013
 Arkansas,AR,Carroll County,05,015
 Arkansas,AR,Chicot County,05,017
 Arkansas,AR,Clark County,05,019
 Arkansas,AR,Clay County,05,021
 Arkansas,AR,Cleburne County,05,023
 Arkansas,AR,Cleveland County,05,025
 Arkansas,AR,Columbia County,05,027
 Arkansas,AR,Conway County,05,029
 Arkansas,AR,Craighead County,05,031
 Arkansas,AR,Crawford County,05,033
 Arkansas,AR,Crittenden County,05,035
 Arkansas,AR,Cross County,05,037
 Arkansas,AR,Dallas County,05,039
 Arkansas,AR,Desha County,05,041
 Arkansas,AR,Drew County,05,043
 Arkansas,AR,Faulkner County,05,045
 Arkansas,AR,Franklin County,05,047
 Arkansas,AR,Fulton County,05,049
 Arkansas,AR,Garland County,05,051
 Arkansas,AR,Grant County,05,053
 Arkansas,AR,Greene County,05,055
 Arkansas,AR,Hempstead County,05,057
 Arkansas,AR,Hot Spring County,05,059
 Arkansas,AR,Howard County,05,061
 Arkansas,AR,Independence County,05,063
 Arkansas,AR,Izard County,05,065
 Arkansas,AR,Jackson County,05,067
 Arkansas,AR,Jefferson County,05,069
 Arkansas,AR,Johnson County,05,071
 Arkansas,AR,Lafayette County,05,073
 Arkansas,AR,Lawrence County,05,075
 Arkansas,AR,Lee County,05,077
 Arkansas,AR,Lincoln County,05,079
 Arkansas,AR,Little River County,05,081
 Arkansas,AR,Logan County,05,083
 Arkansas,AR,Lonoke County,05,085
 Arkansas,AR,Madison County,05,087
 Arkansas,AR,Marion County,05,089
 Arkansas,AR,Miller County,05,091
 Arkansas,AR,Mississippi County,05,093
 Arkansas,AR,Monroe County,05,095
 Arkansas,AR,Montgomery County,05,097
 Arkansas,AR,Nevada County,05,099
 Arkansas,AR,Newton County,05,101
 Arkansas,AR,Ouachita County,05,103
 Arkansas,AR,Perry County,05,105
 Arkansas,AR,Phillips County,05,107
 Arkansas,AR,Pike County,05,109
 Arkansas,AR,Poinsett County,05,111
 Arkansas,AR,Polk County,05,113
 Arkansas,AR,Pope County,05,115
 Arkansas,AR,Prairie County,05,117
 Arkansas,AR,Pulaski County,05,119
 Arkansas,AR,Randolph County,05,121
 Arkansas,AR,St. Francis County,05,123
 Arkansas,AR,Saline County,05,125
 Arkansas,AR,Scott County,05,127
 Arkansas,AR,Searcy County,05,129
 Arkansas,AR,Sebastian County,05,131
 Arkansas,AR,Sevier County,05,133
 Arkansas,AR,Sharp County,05,135
 Arkansas,AR,Stone County,05,137
 Arkansas,AR,Union County,05,139
 Arkansas,AR,Van Buren County,05,141
 Arkansas,AR,Washington County,05,143
 Arkansas,AR,White County,05,145
 Arkansas,AR,Woodruff County,05,147
 Arkansas,AR,Yell County,05,149
 California,CA,Alameda County,06,001
 California,CA,Alpine County,06,003
 California,CA,Butte County,06,007
 California,CA,Colusa County,06,011
 California,CA,Contra Costa County,06,013
 California,CA,El Dorado County,06,017
 California,CA,Fresno County,06,019
 California,CA,Humboldt County,06,023
 California,CA,Imperial County,06,025
 California,CA,Kern County,06,029
 California,CA,Kings County,06,031
 California,CA,Lassen County,06,035
 California,CA,Madera County,06,039
 California,CA,Marin County,06,041
 California,CA,Mariposa County,06,043
 California,CA,Mendocino County,06,045
 California,CA,Merced County,06,047
 California,CA,Modoc County,06,049
 California,CA,Monterey County,06,053
 California,CA,Napa County,06,055
 California,CA,Nevada County,06,057
 California,CA,Orange County,06,059
 California,CA,Placer County,06,061
 California,CA,Plumas County,06,063
 California,CA,Riverside County,06,065
 California,CA,Sacramento County,06,067
 California,CA,San Benito County,06,069
 California,CA,San Bernardino County,06,071
 California,CA,San Diego County,06,073
 California,CA,San Francisco County,06,075
 California,CA,San Joaquin County,06,077
 California,CA,San Luis Obispo County,06,079
 California,CA,San Mateo County,06,081
 California,CA,Santa Clara County,06,085
 California,CA,Santa Cruz County,06,087
 California,CA,Sierra County,06,091
 California,CA,Solano County,06,095
 California,CA,Sonoma County,06,097
 California,CA,Sutter County,06,101
 California,CA,Tehama County,06,103
 California,CA,Tulare County,06,107
 California,CA,Tuolumne County,06,109
 California,CA,Yolo County,06,113
 California,CA,Yuba County,06,115
 California,CA,Mono County,06,051
 California,CA,Amador County,06,005
 California,CA,Calaveras County,06,009
 California,CA,Del Norte County,06,015
 California,CA,Glenn County,06,021
 California,CA,Inyo County,06,027
 California,CA,Lake County,06,033
 California,CA,Los Angeles County,06,037
 California,CA,Santa Barbara County,06,083
 California,CA,Shasta County,06,089
 California,CA,Siskiyou County,06,093
 California,CA,Stanislaus County,06,099
 California,CA,Trinity County,06,105
 California,CA,Ventura County,06,111
 California,CA,Alameda County,06,001
 California,CA,Alpine County,06,003
 California,CA,Amador County,06,005
 California,CA,Butte County,06,007
 California,CA,Calaveras County,06,009
 California,CA,Colusa County,06,011
 California,CA,Contra Costa County,06,013
 California,CA,Del Norte County,06,015
 California,CA,El Dorado County,06,017
